time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-05T10:37:00.000000,ftx,SOL/USD,0.03,35.0325,35.03,62.16
2022-11-05T10:38:00.000000,ftx,SOL/USD,9.99,35.0525,35.05,64.52
2022-11-05T10:39:00.000000,ftx,SOL/USD,75.0,35.0525,35.05,10.06
2022-11-05T10:40:00.000000,ftx,SOL/USD,10.0,35.0425,35.04,965.16
2022-11-05T10:41:00.000000,ftx,SOL/USD,217.65,35.035,35.0325,10.0
2022-11-05T10:42:00.000000,ftx,SOL/USD,0.02,35.0325,35.03,135.58
2022-11-05T10:43:00.000000,ftx,SOL/USD,150.15,35.025,35.0225,7.6
2022-11-05T10:44:00.000000,ftx,SOL/USD,85.15,35.0325,35.03,78.26
2022-11-05T10:45:00.000000,ftx,SOL/USD,0.4,35.07,35.0675,83.05
2022-11-05T10:46:00.000000,ftx,SOL/USD,180.21,35.0375,35.035,10.76
2022-11-05T10:47:00.000000,ftx,SOL/USD,10.03,34.9825,34.98,186.23
2022-11-05T10:48:00.000000,ftx,SOL/USD,1.04,34.9725,34.97,72.0
2022-11-05T10:49:00.000000,ftx,SOL/USD,40.61,34.9725,34.97,18.59
2022-11-05T10:50:00.000000,ftx,SOL/USD,96.86,35.02,35.0175,18.65
2022-11-05T10:51:00.000000,ftx,SOL/USD,143.68,35.0525,35.05,40.05
2022-11-05T10:52:00.000000,ftx,SOL/USD,2.34,35.045,35.0425,126.51
2022-11-05T10:53:00.000000,ftx,SOL/USD,80.89,35.0825,35.08,185.38
2022-11-05T10:54:00.000000,ftx,SOL/USD,248.92,35.105,35.1025,10.0
2022-11-05T10:55:00.000000,ftx,SOL/USD,49.54,35.1325,35.13,5.18
2022-11-05T10:56:00.000000,ftx,SOL/USD,19.1,35.1325,35.13,75.0
2022-11-05T10:57:00.000000,ftx,SOL/USD,15.3,35.1425,35.14,118.53
2022-11-05T10:58:00.000000,ftx,SOL/USD,172.45,35.16,35.1575,8.95
2022-11-05T10:59:00.000000,ftx,SOL/USD,6.28,35.1625,35.16,0.02
2022-11-05T11:00:00.000000,ftx,SOL/USD,10.02,35.1775,35.175,243.58
2022-11-05T11:01:00.000000,ftx,SOL/USD,10.26,35.27,35.2675,197.99
2022-11-05T11:02:00.000000,ftx,SOL/USD,7.35,35.2875,35.285,9.24
2022-11-05T11:03:00.000000,ftx,SOL/USD,0.05,35.1875,35.185,10.0
2022-11-05T11:04:00.000000,ftx,SOL/USD,0.02,35.1875,35.185,62.87
2022-11-05T11:05:00.000000,ftx,SOL/USD,17.31,35.23,35.2275,22.84
2022-11-05T11:06:00.000000,ftx,SOL/USD,160.26,35.2125,35.21,0.49
2022-11-05T11:07:00.000000,ftx,SOL/USD,9.83,35.1625,35.16,8.92
2022-11-05T11:08:00.000000,ftx,SOL/USD,9.31,35.2225,35.22,19.31
2022-11-05T11:09:00.000000,ftx,SOL/USD,1.84,35.25,35.2475,17.18
2022-11-05T11:10:00.000000,ftx,SOL/USD,270.18,35.26,35.2575,0.02
2022-11-05T11:11:00.000000,ftx,SOL/USD,0.04,35.3175,35.315,10.04
2022-11-05T11:12:00.000000,ftx,SOL/USD,196.11,35.3125,35.31,0.04
2022-11-05T11:13:00.000000,ftx,SOL/USD,405.96,35.27,35.2675,900.33
2022-11-05T11:14:00.000000,ftx,SOL/USD,10.02,35.2375,35.235,105.97
2022-11-05T11:15:00.000000,ftx,SOL/USD,0.03,35.275,35.2725,0.02
2022-11-05T11:16:00.000000,ftx,SOL/USD,0.02,35.325,35.3225,228.44
2022-11-05T11:17:00.000000,ftx,SOL/USD,154.77,35.335,35.3325,7.55
2022-11-05T11:18:00.000000,ftx,SOL/USD,177.43,35.3025,35.3,0.33
2022-11-05T11:19:00.000000,ftx,SOL/USD,0.04,35.305,35.3025,83.49
