Date;Open;High;Low;Close;Volume
2022-10-18 15:00:00;369,4;371,3;368,39;370,96;14915042
2022-10-18 14:00:00;372,03;372,26;368,11;369,4;8615576
2022-10-18 13:00:00;370,44;372,38;369,18;372,04;7493220
2022-10-18 12:00:00;369,2;371,44;368,56;370,43;9153516
2022-10-18 11:00:00;371,49;371,96;367,52;369,22;11083534
2022-10-18 10:00:00;373,12;374,37;370,97;371,5;11486486
2022-10-18 09:00:00;375,13;375,45;372,45;373,1;9795184
2022-10-17 15:00:00;366,81;367,61;366,22;366,66;18525438
2022-10-17 14:00:00;367,4;367,92;366,25;366,82;5606444
2022-10-17 13:00:00;366,52;367,69;365,91;367,41;5926811
2022-10-17 12:00:00;366,9;367,6;365,96;366,51;5807736
2022-10-17 11:00:00;365,45;367,48;364,6;366,91;7756682
2022-10-17 10:00:00;365,85;367,98;364,89;365,45;11950058
2022-10-17 09:00:00;364,01;367,38;363,97;365,87;11315513
2022-10-14 15:00:00;358,46;359,43;356,96;357,77;23917003
2022-10-14 14:00:00;360,14;360,15;357,56;358,47;6904190
2022-10-14 13:00:00;359,34;360,23;358,51;360,12;7079495
2022-10-14 12:00:00;359,72;361,07;358,45;359,33;9868144
2022-10-14 11:00:00;362,07;363,53;359,31;359,75;10011514
2022-10-14 10:00:00;366,61;366,62;360,32;362,06;18158811
2022-10-14 09:00:00;368,55;370,26;365,99;366,6;10528288
2022-10-13 15:00:00;366,78;367,51;365,04;365,88;22681348
2022-10-13 14:00:00;365,52;367,13;363,96;366,8;9254395
2022-10-13 13:00:00;362,96;366,49;362,91;365,56;10318543
2022-10-13 12:00:00;362,87;364,05;360,95;362,94;11175217
2022-10-13 11:00:00;353,59;365,34;353,35;362,86;27011465
2022-10-13 10:00:00;351,96;354,72;351,4;353,6;14912335
2022-10-13 09:00:00;349,21;352,5;348,11;351,96;12668190
2022-10-12 15:00:00;357,69;358,3;356,5;356,61;13027280
2022-10-12 14:00:00;357,61;359,4;357,11;357,69;8623312
2022-10-12 13:00:00;358,58;358,82;357,32;357,66;4295731
2022-10-12 12:00:00;359,22;359,8;357,62;358,58;5132913
2022-10-12 11:00:00;357,88;359,45;357,76;359,19;6173387
2022-10-12 10:00:00;358,82;359,45;357;357,83;7689071
2022-10-12 09:00:00;358,17;359,82;356,3;358,83;8361628
2022-10-11 15:00:00;357,3;358,24;355,71;357,68;21398098
2022-10-11 14:00:00;361,88;362,13;357,16;357,32;9723695
