,time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
8142,2022-11-06T15:42:00.000000,ftx,FTT-PERP,30.2,24.0555,24.0505,17.6
8143,2022-11-06T15:43:00.000000,ftx,FTT-PERP,23.2,24.038,24.035,31.0
8144,2022-11-06T15:44:00.000000,ftx,FTT-PERP,215.3,24.0365,24.031,0.1
8145,2022-11-06T15:45:00.000000,ftx,FTT-PERP,20.0,24.014,24.0075,150.9
8146,2022-11-06T15:46:00.000000,ftx,FTT-PERP,12.8,24.0615,24.0585,20.0
8147,2022-11-06T15:47:00.000000,ftx,FTT-PERP,25.0,24.0765,24.0745,1072.3
8148,2022-11-06T15:48:00.000000,ftx,FTT-PERP,2529.0,22.81,22.8095,8.4
8149,2022-11-06T15:49:00.000000,ftx,FTT-PERP,216.0,21.697,21.64,125.6
8150,2022-11-06T15:50:00.000000,ftx,FTT-PERP,315.8,22.07,22.0215,34.8
8151,2022-11-06T15:51:00.000000,ftx,FTT-PERP,9.2,22.5335,22.5015,181.0
8152,2022-11-06T15:52:00.000000,ftx,FTT-PERP,10.4,22.101,22.088,1.0
8153,2022-11-06T15:53:00.000000,ftx,FTT-PERP,27.6,22.2215,22.2115,151.7
8154,2022-11-06T15:54:00.000000,ftx,FTT-PERP,1939.2,21.9,21.8975,26.1
8155,2022-11-06T15:55:00.000000,ftx,FTT-PERP,184.6,22.13,22.115,30.9
8156,2022-11-06T15:56:00.000000,ftx,FTT-PERP,38.5,22.25,22.2335,47.0
8157,2022-11-06T15:57:00.000000,ftx,FTT-PERP,30.3,22.109,22.0955,19.5
8158,2022-11-06T15:58:00.000000,ftx,FTT-PERP,135.4,22.176,22.166,18.0
8159,2022-11-06T15:59:00.000000,ftx,FTT-PERP,20.0,21.9425,21.9165,445.1
8160,2022-11-06T16:00:00.000000,ftx,FTT-PERP,515.7,21.978,21.971,151.7
8161,2022-11-06T16:01:00.000000,ftx,FTT-PERP,140.1,21.7375,21.717,13.9
8162,2022-11-06T16:02:00.000000,ftx,FTT-PERP,2.5,21.5215,21.496,46.4
8163,2022-11-06T16:03:00.000000,ftx,FTT-PERP,2579.8,22.236,22.2205,44.4
8164,2022-11-06T16:04:00.000000,ftx,FTT-PERP,3.8,22.4,22.3855,140.1
8165,2022-11-06T16:05:00.000000,ftx,FTT-PERP,260.3,22.6835,22.644,18.4
8166,2022-11-06T16:06:00.000000,ftx,FTT-PERP,151.7,22.5455,22.518,47.0
8167,2022-11-06T16:07:00.000000,ftx,FTT-PERP,302.9,22.83,22.778,60.3
8168,2022-11-06T16:08:00.000000,ftx,FTT-PERP,109.3,22.963,22.9225,43.2
8169,2022-11-06T16:09:00.000000,ftx,FTT-PERP,47.0,23.337,23.3155,79.9
8170,2022-11-06T16:10:00.000000,ftx,FTT-PERP,33.2,22.9425,22.904,6.3
8171,2022-11-06T16:11:00.000000,ftx,FTT-PERP,20.0,22.9335,22.919,182.1
8172,2022-11-06T16:12:00.000000,ftx,FTT-PERP,567.1,22.9245,22.905,99.9
8173,2022-11-06T16:13:00.000000,ftx,FTT-PERP,2.8,22.7855,22.7715,37.0
8174,2022-11-06T16:14:00.000000,ftx,FTT-PERP,143.1,22.935,22.9245,319.1
8175,2022-11-06T16:15:00.000000,ftx,FTT-PERP,151.7,22.9995,22.974,140.1
8176,2022-11-06T16:16:00.000000,ftx,FTT-PERP,46.1,23.581,23.4675,38.3
8177,2022-11-06T16:17:00.000000,ftx,FTT-PERP,25.2,23.1875,23.168,12.8
8178,2022-11-06T16:18:00.000000,ftx,FTT-PERP,9.3,23.303,23.3005,30.7
8179,2022-11-06T16:19:00.000000,ftx,FTT-PERP,23.5,23.0795,23.0735,46.6
8180,2022-11-06T16:20:00.000000,ftx,FTT-PERP,316.2,23.159,23.148,140.1
8181,2022-11-06T16:21:00.000000,ftx,FTT-PERP,251.7,22.934,22.9205,0.5
8182,2022-11-06T16:22:00.000000,ftx,FTT-PERP,294.4,22.995,22.987,36.5
8183,2022-11-06T16:23:00.000000,ftx,FTT-PERP,252.2,23.1495,23.14,9.7
8184,2022-11-06T16:24:00.000000,ftx,FTT-PERP,140.1,22.888,22.8675,47.0
8185,2022-11-06T16:25:00.000000,ftx,FTT-PERP,20.0,22.9775,22.9665,1.3
8186,2022-11-06T16:26:00.000000,ftx,FTT-PERP,57.0,22.992,22.9785,126.4
8187,2022-11-06T16:27:00.000000,ftx,FTT-PERP,15.8,23.125,23.101,37.0
8188,2022-11-06T16:28:00.000000,ftx,FTT-PERP,20.0,23.0925,23.0835,32.6
8189,2022-11-06T16:29:00.000000,ftx,FTT-PERP,47.0,23.195,23.1775,47.0
8190,2022-11-06T16:30:00.000000,ftx,FTT-PERP,16.9,23.1135,23.1065,2.2
8191,2022-11-06T16:31:00.000000,ftx,FTT-PERP,32.2,23.1405,23.131,34.3
8192,2022-11-06T16:32:00.000000,ftx,FTT-PERP,19.5,23.1145,23.114,0.1
8193,2022-11-06T16:33:00.000000,ftx,FTT-PERP,150.2,23.1,23.0875,51.0
8194,2022-11-06T16:34:00.000000,ftx,FTT-PERP,20.0,23.073,23.0675,1211.7
8195,2022-11-06T16:35:00.000000,ftx,FTT-PERP,289.3,23.0205,23.0155,5.1
8196,2022-11-06T16:36:00.000000,ftx,FTT-PERP,47.0,23.0665,23.054,11.3
8197,2022-11-06T16:37:00.000000,ftx,FTT-PERP,6.8,23.1645,23.156,20.0
8198,2022-11-06T16:38:00.000000,ftx,FTT-PERP,18.8,23.0015,23.0,4175.5
8199,2022-11-06T16:39:00.000000,ftx,FTT-PERP,53.5,23.064,23.053,48.6
8200,2022-11-06T16:40:00.000000,ftx,FTT-PERP,4.9,23.0825,23.08,0.1
8201,2022-11-06T16:41:00.000000,ftx,FTT-PERP,37.0,22.9835,22.9705,113.2
8202,2022-11-06T16:42:00.000000,ftx,FTT-PERP,37.0,23.1135,23.104,64.7
8203,2022-11-06T16:43:00.000000,ftx,FTT-PERP,1475.1,23.079,23.0735,35.9
8204,2022-11-06T16:44:00.000000,ftx,FTT-PERP,9.6,23.1405,23.133,305.2
8205,2022-11-06T16:45:00.000000,ftx,FTT-PERP,4.2,23.133,23.126,97.1
8206,2022-11-06T16:46:00.000000,ftx,FTT-PERP,29.3,23.067,23.0655,2.2
8207,2022-11-06T16:47:00.000000,ftx,FTT-PERP,189.9,23.0825,23.0745,987.3
8208,2022-11-06T16:48:00.000000,ftx,FTT-PERP,20.0,23.1145,23.1055,68.8
8209,2022-11-06T16:49:00.000000,ftx,FTT-PERP,20.6,23.168,23.163,1246.3
8210,2022-11-06T16:50:00.000000,ftx,FTT-PERP,47.0,23.111,23.109,30.9
8211,2022-11-06T16:51:00.000000,ftx,FTT-PERP,20.0,23.1095,23.105,0.1
8212,2022-11-06T16:52:00.000000,ftx,FTT-PERP,163.7,23.0825,23.0795,20.2
8213,2022-11-06T16:53:00.000000,ftx,FTT-PERP,0.1,23.1135,23.111,50.2
8214,2022-11-06T16:54:00.000000,ftx,FTT-PERP,17.3,23.126,23.12,20.0
8215,2022-11-06T16:55:00.000000,ftx,FTT-PERP,8.4,23.139,23.1335,39.2
8216,2022-11-06T16:56:00.000000,ftx,FTT-PERP,201.6,23.1165,23.113,48.7
8217,2022-11-06T16:57:00.000000,ftx,FTT-PERP,102.5,23.0715,23.0665,25.6
8218,2022-11-06T16:58:00.000000,ftx,FTT-PERP,112.8,23.074,23.0685,25.4
8219,2022-11-06T16:59:00.000000,ftx,FTT-PERP,40.9,23.084,23.0825,30.7
8220,2022-11-06T17:00:00.000000,ftx,FTT-PERP,22.0,23.1595,23.15,20.0
8221,2022-11-06T17:01:00.000000,ftx,FTT-PERP,1.3,23.2535,23.251,29.5
8222,2022-11-06T17:02:00.000000,ftx,FTT-PERP,46.7,23.187,23.183,22.0
8223,2022-11-06T17:03:00.000000,ftx,FTT-PERP,196.4,23.2035,23.201,20.0
8224,2022-11-06T17:04:00.000000,ftx,FTT-PERP,46.3,23.2095,23.2045,0.1
8225,2022-11-06T17:05:00.000000,ftx,FTT-PERP,0.1,23.1955,23.1905,20.0
8226,2022-11-06T17:06:00.000000,ftx,FTT-PERP,87.4,23.233,23.22,341.5
8227,2022-11-06T17:07:00.000000,ftx,FTT-PERP,213.9,23.205,23.2035,0.2
8228,2022-11-06T17:08:00.000000,ftx,FTT-PERP,386.4,23.1815,23.18,22.7
8229,2022-11-06T17:09:00.000000,ftx,FTT-PERP,20.3,23.1575,23.157,26.3
8230,2022-11-06T17:10:00.000000,ftx,FTT-PERP,67.6,23.1605,23.1555,146.5
8231,2022-11-06T17:11:00.000000,ftx,FTT-PERP,122.1,23.227,23.2235,20.0
8232,2022-11-06T17:12:00.000000,ftx,FTT-PERP,119.6,23.255,23.253,29.5
8233,2022-11-06T17:13:00.000000,ftx,FTT-PERP,60.8,23.2355,23.2325,2.1
8234,2022-11-06T17:14:00.000000,ftx,FTT-PERP,29.5,23.157,23.152,21.1
8235,2022-11-06T17:15:00.000000,ftx,FTT-PERP,157.3,23.1605,23.151,19.2
8236,2022-11-06T17:16:00.000000,ftx,FTT-PERP,63.5,23.3405,23.331,21.4
8237,2022-11-06T17:17:00.000000,ftx,FTT-PERP,1106.2,23.22,23.2195,1898.3
8238,2022-11-06T17:18:00.000000,ftx,FTT-PERP,9.6,23.2275,23.222,24.9
8239,2022-11-06T17:19:00.000000,ftx,FTT-PERP,224.8,23.173,23.17,1377.8
8240,2022-11-06T17:20:00.000000,ftx,FTT-PERP,291.5,23.1145,23.1065,40.6
8241,2022-11-06T17:21:00.000000,ftx,FTT-PERP,19.0,23.0755,23.068,66.1
8242,2022-11-06T17:22:00.000000,ftx,FTT-PERP,59.1,22.9965,22.988,47.0
8243,2022-11-06T17:23:00.000000,ftx,FTT-PERP,69.8,23.0635,23.063,44.8
8244,2022-11-06T17:24:00.000000,ftx,FTT-PERP,22.4,23.0035,23.0005,76.7
8245,2022-11-06T17:25:00.000000,ftx,FTT-PERP,21.1,23.0115,23.0075,3.2
8246,2022-11-06T17:26:00.000000,ftx,FTT-PERP,70.3,22.9455,22.9415,13.2
8247,2022-11-06T17:27:00.000000,ftx,FTT-PERP,133.7,22.9725,22.97,25.4
8248,2022-11-06T17:28:00.000000,ftx,FTT-PERP,62.3,22.8645,22.8595,4.2
8249,2022-11-06T17:29:00.000000,ftx,FTT-PERP,24.6,22.8695,22.864,41.9
8250,2022-11-06T17:30:00.000000,ftx,FTT-PERP,54.6,22.9935,22.983,8.7
8251,2022-11-06T17:31:00.000000,ftx,FTT-PERP,177.4,22.8985,22.896,3.5
8252,2022-11-06T17:32:00.000000,ftx,FTT-PERP,30.4,22.9965,22.996,554.0
8253,2022-11-06T17:33:00.000000,ftx,FTT-PERP,37.1,23.074,23.072,58.5
