,market_comparison,statistic,value
236,ftx/SOL/USD - binance/SOLUSDT,25%,-8.29285550176806e-05
237,ftx/SOL/USD - binance/SOLUSDT,50%,0.0
238,ftx/SOL/USD - binance/SOLUSDT,75%,9.6172841473674e-05
239,ftx/SOL/USD - binance/SOLUSDT,max,0.2775238952718211
240,ftx/SOL/USD - bitstamp/SOLUSD,count,28799.0
241,ftx/SOL/USD - bitstamp/SOLUSD,mean,1.7363690570990888e-08
242,ftx/SOL/USD - bitstamp/SOLUSD,std,0.017042622745947863
243,ftx/SOL/USD - bitstamp/SOLUSD,min,-0.3464723411304935
244,ftx/SOL/USD - bitstamp/SOLUSD,25%,-4.8699692156040086e-05
245,ftx/SOL/USD - bitstamp/SOLUSD,50%,0.0
246,ftx/SOL/USD - bitstamp/SOLUSD,75%,6.118967582580126e-05
247,ftx/SOL/USD - bitstamp/SOLUSD,max,0.2877829419770821
248,ftx/SOL/USD - ftx/SOL-PERP,count,28799.0
249,ftx/SOL/USD - ftx/SOL-PERP,mean,6.590656561491388e-09
250,ftx/SOL/USD - ftx/SOL-PERP,std,0.014437855034975725
251,ftx/SOL/USD - ftx/SOL-PERP,min,-0.2749794546094284
252,ftx/SOL/USD - ftx/SOL-PERP,25%,-3.624839537597069e-05
253,ftx/SOL/USD - ftx/SOL-PERP,50%,0.0
254,ftx/SOL/USD - ftx/SOL-PERP,75%,4.7016352026085784e-05
255,ftx/SOL/USD - ftx/SOL-PERP,max,0.26692542727613455
256,ftx/SOL/USD - gate-io/SOL_USDT,count,28799.0
257,ftx/SOL/USD - gate-io/SOL_USDT,mean,1.1775169461627732e-08
258,ftx/SOL/USD - gate-io/SOL_USDT,std,0.014493180875550286
259,ftx/SOL/USD - gate-io/SOL_USDT,min,-0.27827890133489674
260,ftx/SOL/USD - gate-io/SOL_USDT,25%,-0.00039595233531519725
261,ftx/SOL/USD - gate-io/SOL_USDT,50%,0.0
262,ftx/SOL/USD - gate-io/SOL_USDT,75%,0.00040399574034299945
263,ftx/SOL/USD - gate-io/SOL_USDT,max,0.2770216713378644
264,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,count,28799.0
265,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,mean,9.63178057909454e-09
266,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,std,0.014487364389717863
267,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,min,-0.2783996633052377
268,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,25%,-0.0003371865297063792
269,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,50%,0.0
270,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,75%,0.0003515266463820499
271,ftx/SOL/USD - okex-swap/SOL-USDT-SWAP,max,0.27765813131413397
272,ftx/SOL/USD - okex/SOL-USDT,count,28799.0
273,ftx/SOL/USD - okex/SOL-USDT,mean,2.3999247093480314e-09
274,ftx/SOL/USD - okex/SOL-USDT,std,0.01436925252012809
275,ftx/SOL/USD - okex/SOL-USDT,min,-0.27897714326448675
276,ftx/SOL/USD - okex/SOL-USDT,25%,-0.00041718779640342873
277,ftx/SOL/USD - okex/SOL-USDT,50%,6.74082992535574e-07
278,ftx/SOL/USD - okex/SOL-USDT,75%,0.0004276678509220755
279,ftx/SOL/USD - okex/SOL-USDT,max,0.27688245238985854
280,gate-io/SOL_USDT - binance-futures/SOLUSDT,count,28799.0
281,gate-io/SOL_USDT - binance-futures/SOLUSDT,mean,9.302285005767717e-10
282,gate-io/SOL_USDT - binance-futures/SOLUSDT,std,0.002786980390556634
283,gate-io/SOL_USDT - binance-futures/SOLUSDT,min,-0.1824902972631044
284,gate-io/SOL_USDT - binance-futures/SOLUSDT,25%,-0.00037686412991999596
285,gate-io/SOL_USDT - binance-futures/SOLUSDT,50%,4.287376254019648e-07
286,gate-io/SOL_USDT - binance-futures/SOLUSDT,75%,0.00037984962092041386
287,gate-io/SOL_USDT - binance-futures/SOLUSDT,max,0.18197946588593394
288,gate-io/SOL_USDT - binance/SOLUSDT,count,28799.0
289,gate-io/SOL_USDT - binance/SOLUSDT,mean,5.588521109363156e-09
290,gate-io/SOL_USDT - binance/SOLUSDT,std,0.002023514789032675
291,gate-io/SOL_USDT - binance/SOLUSDT,min,-0.18224220796708845
