,market_comparison,statistic,value
191,okex-swap/BTC-USDT-SWAP - gate-io/BTC_USDT,max,0.03472809811738209
192,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,count,28800.0
193,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,mean,-5.920133416949093e-09
194,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,std,0.00027778113789748976
195,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,min,-0.00480218274609534
196,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,25%,-0.00011518485769013154
197,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,50%,-2.034239088288814e-07
198,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,75%,0.00011563319121687954
199,okex-swap/BTC-USDT-SWAP - okex/BTC-USDT,max,0.0053437826355793305
200,okex/BTC-USDT - bitstamp/BTCUSD,count,28799.0
201,okex/BTC-USDT - bitstamp/BTCUSD,mean,1.7541687654002052e-08
202,okex/BTC-USDT - bitstamp/BTCUSD,std,0.0006278038426565261
203,okex/BTC-USDT - bitstamp/BTCUSD,min,-0.02154714528957591
204,okex/BTC-USDT - bitstamp/BTCUSD,25%,-0.0001744023818366358
205,okex/BTC-USDT - bitstamp/BTCUSD,50%,-4.033593690166981e-07
206,okex/BTC-USDT - bitstamp/BTCUSD,75%,0.0001737928280087786
207,okex/BTC-USDT - bitstamp/BTCUSD,max,0.019669008649666253
208,okex/BTC-USDT - ftx/BTC-PERP,count,28799.0
209,okex/BTC-USDT - ftx/BTC-PERP,mean,1.5285094190789355e-08
210,okex/BTC-USDT - ftx/BTC-PERP,std,0.0008894014471080135
211,okex/BTC-USDT - ftx/BTC-PERP,min,-0.030570207865132204
212,okex/BTC-USDT - ftx/BTC-PERP,25%,-0.00014852265069098536
213,okex/BTC-USDT - ftx/BTC-PERP,50%,-1.1295296999946913e-06
214,okex/BTC-USDT - ftx/BTC-PERP,75%,0.00014583591932293416
215,okex/BTC-USDT - ftx/BTC-PERP,max,0.025523500173532554
216,okex/BTC-USDT - ftx/BTC/USD,count,28799.0
217,okex/BTC-USDT - ftx/BTC/USD,mean,7.750663525286178e-09
218,okex/BTC-USDT - ftx/BTC/USD,std,0.0010624475864467833
219,okex/BTC-USDT - ftx/BTC/USD,min,-0.03998063211287395
220,okex/BTC-USDT - ftx/BTC/USD,25%,-0.00015833372458384787
221,okex/BTC-USDT - ftx/BTC/USD,50%,3.2760935653186607e-07
222,okex/BTC-USDT - ftx/BTC/USD,75%,0.00015567572330343893
223,okex/BTC-USDT - ftx/BTC/USD,max,0.03252412321463005
224,okex/BTC-USDT - gate-io/BTC_USDT,count,28800.0
225,okex/BTC-USDT - gate-io/BTC_USDT,mean,5.920133416949093e-09
226,okex/BTC-USDT - gate-io/BTC_USDT,std,0.000498315201571218
227,okex/BTC-USDT - gate-io/BTC_USDT,min,-0.03423803220554866
228,okex/BTC-USDT - gate-io/BTC_USDT,25%,-0.0001198757257059313
229,okex/BTC-USDT - gate-io/BTC_USDT,50%,-1.093871917490219e-07
230,okex/BTC-USDT - gate-io/BTC_USDT,75%,0.00011690976703926381
231,okex/BTC-USDT - gate-io/BTC_USDT,max,0.034588377391282066
232,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,count,28800.0
233,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,mean,5.920133416949093e-09
234,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,std,0.00027778113789748976
235,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,min,-0.0053437826355793305
236,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,25%,-0.00011563319121687954
237,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,50%,2.034239088288814e-07
238,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,75%,0.00011518485769013154
239,okex/BTC-USDT - okex-swap/BTC-USDT-SWAP,max,0.00480218274609534
