,market_comparison,statistic,value
235,ftx/ETH/USD - binance/ETHUSDT,min,-0.17726028989910514
236,ftx/ETH/USD - binance/ETHUSDT,25%,-0.0001946534935273192
237,ftx/ETH/USD - binance/ETHUSDT,50%,0.0
238,ftx/ETH/USD - binance/ETHUSDT,75%,0.0001934259824407647
239,ftx/ETH/USD - binance/ETHUSDT,max,0.17349824738036368
240,ftx/ETH/USD - bitstamp/ETHUSD,count,28799.0
241,ftx/ETH/USD - bitstamp/ETHUSD,mean,-3.127294825783624e-09
242,ftx/ETH/USD - bitstamp/ETHUSD,std,0.006572287495961539
243,ftx/ETH/USD - bitstamp/ETHUSD,min,-0.1766917900896381
244,ftx/ETH/USD - bitstamp/ETHUSD,25%,-5.3957890575606626e-05
245,ftx/ETH/USD - bitstamp/ETHUSD,50%,0.0
246,ftx/ETH/USD - bitstamp/ETHUSD,75%,4.339727795032999e-05
247,ftx/ETH/USD - bitstamp/ETHUSD,max,0.1728554284383046
248,ftx/ETH/USD - ftx/ETH-PERP,count,28799.0
249,ftx/ETH/USD - ftx/ETH-PERP,mean,-1.6022598387912544e-08
250,ftx/ETH/USD - ftx/ETH-PERP,std,0.00665774440411597
251,ftx/ETH/USD - ftx/ETH-PERP,min,-0.17874048454099078
252,ftx/ETH/USD - ftx/ETH-PERP,25%,-2.9622682935048772e-05
253,ftx/ETH/USD - ftx/ETH-PERP,50%,0.0
254,ftx/ETH/USD - ftx/ETH-PERP,75%,2.866172203752626e-05
255,ftx/ETH/USD - ftx/ETH-PERP,max,0.1706147479147111
256,ftx/ETH/USD - gate-io/ETH_USDT,count,28799.0
257,ftx/ETH/USD - gate-io/ETH_USDT,mean,1.0367831843448049e-08
258,ftx/ETH/USD - gate-io/ETH_USDT,std,0.0066597783540068975
259,ftx/ETH/USD - gate-io/ETH_USDT,min,-0.17713793573756575
260,ftx/ETH/USD - gate-io/ETH_USDT,25%,-0.0002355498292581082
261,ftx/ETH/USD - gate-io/ETH_USDT,50%,0.0
262,ftx/ETH/USD - gate-io/ETH_USDT,75%,0.00022976833231114213
263,ftx/ETH/USD - gate-io/ETH_USDT,max,0.173479448162853
264,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,count,28799.0
265,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,mean,-2.7074703388697154e-09
266,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,std,0.0065643871197581674
267,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,min,-0.1774466100338863
268,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,25%,-0.00021300468440976772
269,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,50%,0.0
270,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,75%,0.00020882032485669555
271,ftx/ETH/USD - okex-swap/ETH-USDT-SWAP,max,0.17367404727868951
272,ftx/ETH/USD - okex/ETH-USDT,count,28799.0
273,ftx/ETH/USD - okex/ETH-USDT,mean,-6.054100448186915e-09
274,ftx/ETH/USD - okex/ETH-USDT,std,0.006570704894907059
275,ftx/ETH/USD - okex/ETH-USDT,min,-0.17774857474791705
276,ftx/ETH/USD - okex/ETH-USDT,25%,-0.0002584694645211272
277,ftx/ETH/USD - okex/ETH-USDT,50%,-5.421816444695082e-07
278,ftx/ETH/USD - okex/ETH-USDT,75%,0.00025167086403499184
279,ftx/ETH/USD - okex/ETH-USDT,max,0.17383853982037412
280,gate-io/ETH_USDT - binance-futures/ETHUSDT,count,28799.0
281,gate-io/ETH_USDT - binance-futures/ETHUSDT,mean,-4.236532711889644e-09
282,gate-io/ETH_USDT - binance-futures/ETHUSDT,std,0.001237968426247832
