,market_comparison,statistic,value
192,ftx/FTT/USD - gate-io/FTT_USDT,count,20428.0
193,ftx/FTT/USD - gate-io/FTT_USDT,mean,-3.3236852725883877e-07
194,ftx/FTT/USD - gate-io/FTT_USDT,std,0.014121002495688494
195,ftx/FTT/USD - gate-io/FTT_USDT,min,-0.3665611945697857
196,ftx/FTT/USD - gate-io/FTT_USDT,25%,-0.0007879562487108638
197,ftx/FTT/USD - gate-io/FTT_USDT,50%,0.0
198,ftx/FTT/USD - gate-io/FTT_USDT,75%,0.0007839733438526619
199,ftx/FTT/USD - gate-io/FTT_USDT,max,0.3607903886793887
200,gate-io/FTT_USDT - binance-futures/FTTUSDT,count,18878.0
201,gate-io/FTT_USDT - binance-futures/FTTUSDT,mean,-3.836917213793823e-06
202,gate-io/FTT_USDT - binance-futures/FTTUSDT,std,0.010707051815340426
203,gate-io/FTT_USDT - binance-futures/FTTUSDT,min,-0.36664037608387845
204,gate-io/FTT_USDT - binance-futures/FTTUSDT,25%,-0.0006639215141609478
205,gate-io/FTT_USDT - binance-futures/FTTUSDT,50%,8.534379445590545e-06
206,gate-io/FTT_USDT - binance-futures/FTTUSDT,75%,0.0007136064942026565
207,gate-io/FTT_USDT - binance-futures/FTTUSDT,max,0.36517997092275234
208,gate-io/FTT_USDT - binance/FTTUSDT,count,20393.0
209,gate-io/FTT_USDT - binance/FTTUSDT,mean,-1.4904850058405517e-07
210,gate-io/FTT_USDT - binance/FTTUSDT,std,0.010031575061326807
211,gate-io/FTT_USDT - binance/FTTUSDT,min,-0.3668862591794715
212,gate-io/FTT_USDT - binance/FTTUSDT,25%,-0.0007714811085763884
213,gate-io/FTT_USDT - binance/FTTUSDT,50%,-4.735943086142669e-06
214,gate-io/FTT_USDT - binance/FTTUSDT,75%,0.0007866942720995418
215,gate-io/FTT_USDT - binance/FTTUSDT,max,0.36815030954008066
216,gate-io/FTT_USDT - bitstamp/FTTUSD,count,20394.0
217,gate-io/FTT_USDT - bitstamp/FTTUSD,mean,2.5915952377954233e-07
218,gate-io/FTT_USDT - bitstamp/FTTUSD,std,0.023828703067952133
219,gate-io/FTT_USDT - bitstamp/FTTUSD,min,-0.7762222798336993
220,gate-io/FTT_USDT - bitstamp/FTTUSD,25%,-0.0007935159841159778
221,gate-io/FTT_USDT - bitstamp/FTTUSD,50%,-4.579964222095612e-06
222,gate-io/FTT_USDT - bitstamp/FTTUSD,75%,0.0008062373307835269
223,gate-io/FTT_USDT - bitstamp/FTTUSD,max,0.7900162217800273
224,gate-io/FTT_USDT - ftx/FTT-PERP,count,20426.0
225,gate-io/FTT_USDT - ftx/FTT-PERP,mean,4.1353325136975853e-07
226,gate-io/FTT_USDT - ftx/FTT-PERP,std,0.013022002130835675
227,gate-io/FTT_USDT - ftx/FTT-PERP,min,-0.3607903886793887
228,gate-io/FTT_USDT - ftx/FTT-PERP,25%,-0.0008039689605693345
229,gate-io/FTT_USDT - ftx/FTT-PERP,50%,1.9685929641966027e-07
230,gate-io/FTT_USDT - ftx/FTT-PERP,75%,0.0008248140341806653
231,gate-io/FTT_USDT - ftx/FTT-PERP,max,0.3665611945697857
232,gate-io/FTT_USDT - ftx/FTT/USD,count,20428.0
233,gate-io/FTT_USDT - ftx/FTT/USD,mean,3.3236852725883877e-07
234,gate-io/FTT_USDT - ftx/FTT/USD,std,0.014121002495688494
235,gate-io/FTT_USDT - ftx/FTT/USD,min,-0.3607903886793887
236,gate-io/FTT_USDT - ftx/FTT/USD,25%,-0.0007839733438526619
237,gate-io/FTT_USDT - ftx/FTT/USD,50%,0.0
238,gate-io/FTT_USDT - ftx/FTT/USD,75%,0.0007879562487108638
239,gate-io/FTT_USDT - ftx/FTT/USD,max,0.3665611945697857
